Author,collab_agency,date,duration,coverage,activity,proof
Prabir Kumar Das,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,Treasurer,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
Triparna Datta,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Dr. Koyel Ganguly,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Abhjit Kargupta,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Dr. Ranabir Banik,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Dr. Saswati Barman,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Arnab Basu,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Biswadip Basu Mallik,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Dr. Soumyadipta Pal,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Ayan Kumar Panja,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Dr. Tiyasha Sengupta,Rotary Club of Salt Lake Silicon Valley,2019,Running,International,Member,https://drive.google.com/file/d/1hhE-lKnkL4KYpdF9XCict1nQ2eQLJFud/view?usp=sharing
Abhishikta Bhattacharjee,"Inner Wheel Club, IEM Kolkata",2020,Running,International,Member,https://drive.google.com/file/d/1p_s3HSo3T4P6mjWSRBxDyT26xSDvVmNy/view?usp=sharing
Riya Barui,"Inner Wheel Club, IEM Kolkata",2020,Running,International,Member,https://drive.google.com/file/d/1p_s3HSo3T4P6mjWSRBxDyT26xSDvVmNy/view?usp=sharing
Dr. Kakoli Dutta,"Inner Wheel Club, IEM Kolkata",2020,Running,International,Member,https://drive.google.com/file/d/1p_s3HSo3T4P6mjWSRBxDyT26xSDvVmNy/view?usp=sharing
Dr. Samapika Das Biswas,"Inner Wheel Club, IEM Kolkata",2020,Running,International,Member,https://drive.google.com/file/d/1WEGUl8J08ysW93EL0zG0iK8HZwiLP2I8/view?usp=sharing
