Distinguished Lecture Organized,,,,,,,,,,,,,,,,,,,,,,,
Date of Entry,"Date of event (Format : dd-mm-yyyy)
 FROM","Date of event (Format : dd-mm-yyyy)
 TO",Details of the Speakers with affiliation,Type,National/International,Role/ designation of the faculty in the event,Number of participants,Proof link,,,,,,,,,,,,,,,
06-06-2021,"6th August,2019","6th August,2019",Mr. Nabarun De,Distinguished Lecture,National,"Secretary, Association of ICSE Schools in Bengal",300,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th August, 2019","8th August, 2019",Mr. Kunal Saha,Distinguished Lecture,National,"Businessman & Coordinator of Yuva Program, A Chapter of Confederation of Indian Industry",351,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th August, 2019","8th August, 2019",Mr. Jagannath Das,Distinguished Lecture,National,"Businessman & Coordinator of Yuva Program, A Chapter of Confederation of Indian Industry",211,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th August, 2019","8th August, 2019",Ms. Subhasree Chander,Distinguished Lecture,National,Tega Industries,191,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"19th August, 2019","19th August, 2019",Dr. Arnab Halder,Distinguished Lecture,National,Presidency University,165,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"19th August, 2019","19th August, 2019",Dr. S M Ali,Distinguished Lecture,National,"Director, Membership,IEI",243,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"13th August,2019","13th August,2019",Swami Ekochittananda,Distinguished Lecture,National,"Vice Principal, Ramakrishna Mission Vidyamandir, Belurmath",144,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th August,2019","20th August,2019",Mr. Avelo Roy,Distinguished Lecture,National,"Serial Entrepreneur, Investor, TV Host",164,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"21st August,2019","21st August,2019",Prof. Shantanu Das,Distinguished Lecture,National,"HOD, Dept. of ME, Kalyani University",260,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th August,2019","20th August,2019",Mr. Debojyoti Chakraborty,Distinguished Lecture,National,TCS Innovation Lab,209,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
