Author,date,title,name_of_journ,coverage,impact_factor,vol_no,issn_isbn,indexing,inv_paper,prof_inv_file,studs_involved,proof
Mousumi Paul,2019,Multicultural Plurality and Polyethnicity in Hosseini’s The Kite Runner,International Journal of English Learning and Teaching Skills,International,NA,"Vol. 1(3), Page 220-223(4)",ISSN: 2639-7412 (Print) / ISSN: 2638-5546 (Online),NA,No,NA,0,https://drive.google.com/file/d/1XiyyclG3aZcSMBUYEH344rjpV36ib6Am/view?usp=sharing
Prabir Kumar Das,2019,Gate Capacitance in Quantum Metal-Oxide-Semiconductor Field-Effect Transistor Devices of Technologically Important Materials,"Advanced Science, Engineering and Medicine",International,0.987,Vol. 11,ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://www.ingentaconnect.com/contentone/asp/asem/2019/00000011/00000012/art00002
Prabir Kumar Das,2019,The Density-of-States Functions in Quantum Dots,"Advanced Science, Engineering and Medicine",International,0.987,"Vol. 11, Issue 10, Page 907-913",ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://drive.google.com/file/d/1-iFh1N1vP8Gw27gOvMnB-ntmPrWTqGeL/view?usp=sharing
Prabir Kumar Das,2019,Heisenberg's Uncertainty Principle and the Gate Capacitance in Quantum Metal Oxide Silicon Field Effect Transistor Devices,"Advanced Science, Engineering and Medicine",International,0.987,"Vol. 11, Issue 10, Page 903-906",ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://drive.google.com/file/d/1pZ__vpaIQVZCnz_p3JN1webawHeuOOQn/view?usp=sharing
Prabir Kumar Das,2019,Dimension Dependent Density-of-States Function and the Radiation Laws,Journal of Nano Science and Nano Technology,International,1.354,"Vol. 19(5), Page 2909-2912",0169-2968(P),SCI,No,NA,0,https://drive.google.com/file/d/1nJ68P1rKb-jTMZeS0jeFhDti5ITjIPaS/view?usp=sharing
Dr. Phanibhusan Ghosh,2019,A review of the application of multispectral remote sensing in the study of mangrove ecosystems with special emphasis on image processing techniques,Spatial Information Research,International,Nil,"Vol. 25, Issue 1, Page 39-51",ISSN: 2366-3286 (Print) 2366-3294 (Online),Nil,No,NA,2,https://drive.google.com/file/d/1XP4fMszUMH_tFolYQDnjMHa8CErWWyxw/view?usp=sharing
Dr. Phanibhusan Ghosh,2019,"Impact of environmental factors on the dependency of litter biomass in carbon cycling of Hooghly estuary, India",Ecological Informatics,International,2.759,Vol. 51; Page- 193-200,ISSN 1574-9541, Scopus,No,NA,2,https://drive.google.com/file/d/1fyi_10uXQJkA5hqIe4gQGZNDrL8b3eYE/view?usp=sharing
Dr. Phanibhusan Ghosh,2019,"Degree of partitioning of heavy metals in different environmental segments of a sewage-fed fishery pond at East Kolkata Wetland, India – A case study",IJCAES,International,Nil,"Vol. 1, Issue 1",ISSN 2689-6389 (Print)ISSN 2687-7939 (Online),Nil,No,NA,0,https://drive.google.com/file/d/1wJNmPoqCvHnYbJ_pWELlT-VtD-aW3XOg/view?usp=sharing
Dr. Phanibhusan Ghosh,2019,Antimicrobial Activity of a true Mangrove Avicenniaofficinalis leaf extract against some Pathogens.,Journal of Emerging Technology and Innovative Research,International,7.95,"Vol. 6, Issue 3, Page 102-109","ISSN-2349-5162
 jetir.org",NA,No,NA,1,https://drive.google.com/file/d/1MCtWzB5rwcP4AtTiVJ0ucqjl8UbFTqch/view?usp=sharing
Riya Barui,2019,Ethnocentrism and Technical Communication: Study in West Bengals's Technical Education Centres,International Journal of English Learning and Teaching Skills,International,NA,"Vol. 1, Issue 3, Page 266-271",ISSN: 2639-7412 (Print) ISSN: 2638-5546 (Online),NA,No,NA,4,https://drive.google.com/file/d/1Co-NvaDL4k8cHAXfKvO6IBUT4tze8vM-/view?usp=sharing
Ruchira Mukherjee,2019,"A Study of Solar Energy and Ways to Improve its Economic Viability
  and New Business Scopes - Review",International Journal of Advanced Science and Engineering,International,NA,"Vol. 6, Issue S1, Page 55-59","E-ISSN: 2349 5359; 
  P-ISSN: 2454-9967",NA,No,NA,2,https://drive.google.com/file/d/1TonwTytGkVrgBA_fOzc5njyHXIMxH85Q/view?usp=sharing
